"run","tick","toString","Threshold"
1,1.0,"1",6
1,2.0,"1",7
1,3.0,"1",8
1,4.0,"1",9
1,5.0,"1",10
1,6.0,"1",10
1,7.0,"1",10
1,8.0,"1",10
1,9.0,"1",10
1,10.0,"1",10
1,11.0,"1",9
1,12.0,"1",10
1,13.0,"1",10
1,14.0,"1",10
1,15.0,"1",9
1,16.0,"1",10
1,17.0,"1",10
1,18.0,"1",10
1,19.0,"1",10
1,20.0,"1",10
1,21.0,"1",10
1,22.0,"1",9
1,23.0,"1",8
1,24.0,"1",7
1,25.0,"1",6
1,26.0,"1",7
1,27.0,"1",8
1,28.0,"1",9
1,29.0,"1",10
1,30.0,"1",10
1,31.0,"1",9
1,32.0,"1",8
1,33.0,"1",9
1,34.0,"1",10
1,35.0,"1",9
1,36.0,"1",10
1,37.0,"1",10
1,38.0,"1",10
1,39.0,"1",9
1,40.0,"1",10
1,41.0,"1",10
1,42.0,"1",9
1,43.0,"1",10
1,44.0,"1",10
1,45.0,"1",9
1,46.0,"1",10
1,47.0,"1",10
1,48.0,"1",9
1,49.0,"1",8
1,50.0,"1",9
1,51.0,"1",10
1,52.0,"1",10
1,53.0,"1",10
1,54.0,"1",10
1,55.0,"1",10
1,56.0,"1",10
1,57.0,"1",9
1,58.0,"1",10
1,59.0,"1",9
1,60.0,"1",10
1,61.0,"1",10
1,62.0,"1",10
1,63.0,"1",10
1,64.0,"1",10
1,65.0,"1",10
1,66.0,"1",10
1,67.0,"1",10
1,68.0,"1",10
1,69.0,"1",10
1,70.0,"1",10
1,71.0,"1",10
1,72.0,"1",10
1,73.0,"1",10
1,74.0,"1",10
1,75.0,"1",9
1,76.0,"1",8
1,77.0,"1",9
1,78.0,"1",10
1,79.0,"1",10
1,80.0,"1",10
1,81.0,"1",10
1,82.0,"1",10
1,83.0,"1",9
1,84.0,"1",10
1,85.0,"1",10
1,86.0,"1",10
1,87.0,"1",10
1,88.0,"1",10
1,89.0,"1",10
1,90.0,"1",9
1,91.0,"1",10
1,92.0,"1",10
1,93.0,"1",10
1,94.0,"1",9
1,95.0,"1",8
1,96.0,"1",9
1,97.0,"1",10
1,98.0,"1",9
1,99.0,"1",10
1,100.0,"1",10
1,101.0,"1",10
1,102.0,"1",9
1,103.0,"1",10
1,104.0,"1",10
1,105.0,"1",10
1,106.0,"1",10
1,107.0,"1",10
1,108.0,"1",9
1,109.0,"1",10
1,110.0,"1",10
1,111.0,"1",9
1,112.0,"1",10
1,113.0,"1",10
1,114.0,"1",9
1,115.0,"1",10
1,116.0,"1",10
1,117.0,"1",10
1,118.0,"1",10
1,119.0,"1",10
1,120.0,"1",9
1,121.0,"1",8
1,122.0,"1",9
1,123.0,"1",10
1,124.0,"1",9
1,125.0,"1",10
1,126.0,"1",10
1,127.0,"1",10
1,128.0,"1",10
1,129.0,"1",10
1,130.0,"1",9
1,131.0,"1",8
1,132.0,"1",7
1,133.0,"1",6
1,134.0,"1",5
1,135.0,"1",6
1,136.0,"1",7
1,137.0,"1",8
1,138.0,"1",9
1,139.0,"1",10
1,140.0,"1",9
1,141.0,"1",10
1,142.0,"1",10
1,143.0,"1",10
1,144.0,"1",10
1,145.0,"1",9
1,146.0,"1",8
1,147.0,"1",7
1,148.0,"1",8
1,149.0,"1",7
1,150.0,"1",6
1,151.0,"1",5
1,152.0,"1",6
1,153.0,"1",7
1,154.0,"1",8
1,155.0,"1",9
1,156.0,"1",10
1,157.0,"1",10
1,158.0,"1",9
