"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
1,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271653933,"true",5,4,"false",500,0.0,0.5,"true"
16,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271654390,"true",5,4,"false",500,0.015,0.5,"true"
31,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271654708,"true",5,4,"false",500,0.03,0.5,"true"
46,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271654937,"true",5,4,"false",500,0.045,0.5,"true"
61,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271655397,"true",5,4,"false",500,0.06,0.5,"true"
76,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271655640,"true",5,4,"false",500,0.075,0.5,"true"
91,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271656145,"true",5,4,"false",500,0.09,0.5,"true"
106,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271656640,"true",5,4,"false",500,0.105,0.5,"true"
121,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271656896,"true",5,4,"false",500,0.12,0.5,"true"
136,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657156,"true",5,4,"false",500,0.135,0.5,"true"
151,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657446,"true",5,4,"false",500,0.15,0.5,"true"
166,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657705,"true",5,4,"false",500,0.165,0.5,"true"
181,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271657952,"true",5,4,"false",500,0.18,0.5,"true"
196,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658285,"true",5,4,"false",500,0.195,0.5,"true"
211,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658596,"true",5,4,"false",500,0.21,0.5,"true"
226,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271658951,"true",5,4,"false",500,0.225,0.5,"true"
241,"true","false","FREE_BOX","true",1,"WATTS","ALWAYS_BUY",1271659196,"true",5,4,"false",500,0.24,0.5,"true"
