"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
1,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271304222,"true",5,4,"false",500,0.0,0.5,"true"
16,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271304621,"true",5,4,"false",500,0.015,0.5,"true"
31,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271304767,"true",5,4,"false",500,0.03,0.5,"true"
46,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271305040,"true",5,4,"false",500,0.045,0.5,"true"
61,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271305701,"true",5,4,"false",500,0.06,0.5,"true"
76,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271306219,"true",5,4,"false",500,0.075,0.5,"true"
91,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271306572,"true",5,4,"false",500,0.09,0.5,"true"
106,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271306965,"true",5,4,"false",500,0.105,0.5,"true"
121,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307272,"true",5,4,"false",500,0.12,0.5,"true"
136,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307536,"true",5,4,"false",500,0.135,0.5,"true"
151,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271307783,"true",5,4,"false",500,0.15,0.5,"true"
166,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308056,"true",5,4,"false",500,0.165,0.5,"true"
181,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308263,"true",5,4,"false",500,0.18,0.5,"true"
196,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308530,"true",5,4,"false",500,0.195,0.5,"true"
211,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271308888,"true",5,4,"false",500,0.21,0.5,"true"
226,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309125,"true",5,4,"false",500,0.225,0.5,"true"
241,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309551,"true",5,4,"false",500,0.24,0.5,"true"
256,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271309814,"true",5,4,"false",500,0.255,0.5,"true"
271,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310156,"true",5,4,"false",500,0.27,0.5,"true"
286,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310371,"true",5,4,"false",500,0.285,0.5,"true"
301,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310761,"true",5,4,"false",500,0.3,0.5,"true"
316,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271310972,"true",5,4,"false",500,0.315,0.5,"true"
331,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311260,"true",5,4,"false",500,0.33,0.5,"true"
346,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311510,"true",5,4,"false",500,0.345,0.5,"true"
361,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271311749,"true",5,4,"false",500,0.36,0.5,"true"
376,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312003,"true",5,4,"false",500,0.375,0.5,"true"
391,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312306,"true",5,4,"false",500,0.39,0.5,"true"
406,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312522,"true",5,4,"false",500,0.405,0.5,"true"
421,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312747,"true",5,4,"false",500,0.42,0.5,"true"
436,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271312940,"true",5,4,"false",500,0.435,0.5,"true"
451,"true","false","LIM_ED","true",1,"WATTS","ALWAYS_BUY",1271313153,"true",5,4,"false",500,0.45,0.5,"true"
