"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
1,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272344819,"true",5,4,"false",500,0.0,0.5,"true"
16,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272345363,"true",5,4,"false",500,0.015,0.5,"true"
31,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272346348,"true",5,4,"false",500,0.03,0.5,"true"
46,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272347114,"true",5,4,"false",500,0.045,0.5,"true"
61,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272347694,"true",5,4,"false",500,0.06,0.5,"true"
76,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272348243,"true",5,4,"false",500,0.075,0.5,"true"
91,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272348753,"true",5,4,"false",500,0.09,0.5,"true"
106,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272349380,"true",5,4,"false",500,0.105,0.5,"true"
121,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272349980,"true",5,4,"false",500,0.12,0.5,"true"
136,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272350552,"true",5,4,"false",500,0.135,0.5,"true"
151,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272351168,"true",5,4,"false",500,0.15,0.5,"true"
166,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272351789,"true",5,4,"false",500,0.165,0.5,"true"
181,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272352427,"true",5,4,"false",500,0.18,0.5,"true"
196,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272353026,"true",5,4,"false",500,0.195,0.5,"true"
211,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272353592,"true",5,4,"false",500,0.21,0.5,"true"
226,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272354051,"true",5,4,"false",500,0.225,0.5,"true"
241,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272354730,"true",5,4,"false",500,0.24,0.5,"true"
256,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272355410,"true",5,4,"false",500,0.255,0.5,"true"
271,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272356216,"true",5,4,"false",500,0.27,0.5,"true"
286,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272356738,"true",5,4,"false",500,0.285,0.5,"true"
301,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272357401,"true",5,4,"false",500,0.3,0.5,"true"
316,"true","false","LIM_ED","true",2,"WATTS","ALWAYS_BUY",1272358027,"true",5,4,"false",500,0.315,0.5,"true"
