"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
1,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272129228,"true",5,4,"false",500,0.0,0.5,"true"
16,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272129419,"true",5,4,"false",500,0.015,0.5,"true"
31,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272129625,"true",5,4,"false",500,0.03,0.5,"true"
46,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272129706,"true",5,4,"false",500,0.045,0.5,"true"
61,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272129866,"true",5,4,"false",500,0.06,0.5,"true"
76,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272130053,"true",5,4,"false",500,0.075,0.5,"true"
91,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272130335,"true",5,4,"false",500,0.09,0.5,"true"
106,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272131068,"true",5,4,"false",500,0.105,0.5,"true"
121,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272131626,"true",5,4,"false",500,0.12,0.5,"true"
136,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272132308,"true",5,4,"false",500,0.135,0.5,"true"
151,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272132899,"true",5,4,"false",500,0.15,0.5,"true"
166,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272133752,"true",5,4,"false",500,0.165,0.5,"true"
181,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272134240,"true",5,4,"false",500,0.18,0.5,"true"
196,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272134894,"true",5,4,"false",500,0.195,0.5,"true"
211,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272135359,"true",5,4,"false",500,0.21,0.5,"true"
226,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272136098,"true",5,4,"false",500,0.225,0.5,"true"
241,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272136709,"true",5,4,"false",500,0.24,0.5,"true"
256,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272137233,"true",5,4,"false",500,0.255,0.5,"true"
271,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272137806,"true",5,4,"false",500,0.27,0.5,"true"
286,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272138444,"true",5,4,"false",500,0.285,0.5,"true"
301,"true","false","NONE","true",2,"WATTS","ALWAYS_BUY",1272138961,"true",5,4,"false",500,0.3,0.5,"true"
