"run","NLToroidal","NRLoop","manip","NWSym","numPlayers","network","strat","randomSeed","NRSym","memorySize","NWDegree","networkPresent","stopTime","NWBeta","NRDensity","breakTies"
1,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272497807,"true",5,4,"false",500,0.0,0.5,"true"
16,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272498169,"true",5,4,"false",500,0.015,0.5,"true"
31,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272498409,"true",5,4,"false",500,0.03,0.5,"true"
46,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272498799,"true",5,4,"false",500,0.045,0.5,"true"
61,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272499027,"true",5,4,"false",500,0.06,0.5,"true"
76,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272499468,"true",5,4,"false",500,0.075,0.5,"true"
91,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272499850,"true",5,4,"false",500,0.09,0.5,"true"
106,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272500509,"true",5,4,"false",500,0.105,0.5,"true"
121,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272501500,"true",5,4,"false",500,0.12,0.5,"true"
136,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272502484,"true",5,4,"false",500,0.135,0.5,"true"
151,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272503351,"true",5,4,"false",500,0.15,0.5,"true"
166,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272504154,"true",5,4,"false",500,0.165,0.5,"true"
181,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272504839,"true",5,4,"false",500,0.18,0.5,"true"
196,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272505382,"true",5,4,"false",500,0.195,0.5,"true"
211,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272506058,"true",5,4,"false",500,0.21,0.5,"true"
226,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272506853,"true",5,4,"false",500,0.225,0.5,"true"
241,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272507501,"true",5,4,"false",500,0.24,0.5,"true"
256,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272508407,"true",5,4,"false",500,0.255,0.5,"true"
271,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272509113,"true",5,4,"false",500,0.27,0.5,"true"
286,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272509695,"true",5,4,"false",500,0.285,0.5,"true"
301,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272510325,"true",5,4,"false",500,0.3,0.5,"true"
316,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272510766,"true",5,4,"false",500,0.315,0.5,"true"
331,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272511320,"true",5,4,"false",500,0.33,0.5,"true"
346,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272511824,"true",5,4,"false",500,0.345,0.5,"true"
361,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272512386,"true",5,4,"false",500,0.36,0.5,"true"
376,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272513043,"true",5,4,"false",500,0.375,0.5,"true"
391,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272513803,"true",5,4,"false",500,0.39,0.5,"true"
406,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272514492,"true",5,4,"false",500,0.405,0.5,"true"
421,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272515129,"true",5,4,"false",500,0.42,0.5,"true"
436,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272515710,"true",5,4,"false",500,0.435,0.5,"true"
451,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272516458,"true",5,4,"false",500,0.45,0.5,"true"
466,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272517062,"true",5,4,"false",500,0.465,0.5,"true"
481,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272517826,"true",5,4,"false",500,0.48,0.5,"true"
496,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272518640,"true",5,4,"false",500,0.495,0.5,"true"
511,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272519297,"true",5,4,"false",500,0.51,0.5,"true"
526,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272520108,"true",5,4,"false",500,0.525,0.5,"true"
541,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272520658,"true",5,4,"false",500,0.54,0.5,"true"
556,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272521380,"true",5,4,"false",500,0.555,0.5,"true"
571,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272522046,"true",5,4,"false",500,0.57,0.5,"true"
586,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272522707,"true",5,4,"false",500,0.585,0.5,"true"
601,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272523332,"true",5,4,"false",500,0.6,0.5,"true"
616,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272523952,"true",5,4,"false",500,0.615,0.5,"true"
631,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272524716,"true",5,4,"false",500,0.63,0.5,"true"
646,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272525335,"true",5,4,"false",500,0.645,0.5,"true"
661,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272526173,"true",5,4,"false",500,0.66,0.5,"true"
676,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272526852,"true",5,4,"false",500,0.675,0.5,"true"
691,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272527451,"true",5,4,"false",500,0.69,0.5,"true"
706,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272528371,"true",5,4,"false",500,0.705,0.5,"true"
721,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272529019,"true",5,4,"false",500,0.72,0.5,"true"
736,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272529746,"true",5,4,"false",500,0.735,0.5,"true"
751,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272530366,"true",5,4,"false",500,0.75,0.5,"true"
766,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272530863,"true",5,4,"false",500,0.765,0.5,"true"
781,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272531480,"true",5,4,"false",500,0.78,0.5,"true"
796,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272532441,"true",5,4,"false",500,0.795,0.5,"true"
811,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272533045,"true",5,4,"false",500,0.81,0.5,"true"
826,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272533708,"true",5,4,"false",500,0.825,0.5,"true"
841,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272534445,"true",5,4,"false",500,0.84,0.5,"true"
856,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272535465,"true",5,4,"false",500,0.855,0.5,"true"
871,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272536296,"true",5,4,"false",500,0.87,0.5,"true"
886,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272537059,"true",5,4,"false",500,0.885,0.5,"true"
901,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272537710,"true",5,4,"false",500,0.9,0.5,"true"
916,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272538358,"true",5,4,"false",500,0.915,0.5,"true"
931,"true","false","FREE_BOX","true",2,"WATTS","ALWAYS_BUY",1272539065,"true",5,4,"false",500,0.93,0.5,"true"
